datetime,date,atmx,raw,chk_note,chk_fail
03/07/1971 12:00:00,03/07/1971,27.0000,27.0000,"nc",""
04/07/1971 12:00:00,04/07/1971,29.5000,29.5000,"nc",""
05/07/1971 12:00:00,05/07/1971,30.0000,30.0000,"nc",""
06/07/1971 12:00:00,06/07/1971,30.0000,30.0000,"nc",""
07/07/1971 12:00:00,07/07/1971,31.0000,31.0000,"nc",""
08/07/1971 12:00:00,08/07/1971,32.0000,32.0000,"nc",""
09/07/1971 12:00:00,09/07/1971,31.5000,31.5000,"nc",""
10/07/1971 12:00:00,10/07/1971,32.0000,32.0000,"nc",""
11/07/1971 12:00:00,11/07/1971,32.0000,32.0000,"nc",""
12/07/1971 12:00:00,12/07/1971,31.0000,31.0000,"nc",""
13/07/1971 12:00:00,13/07/1971,31.0000,31.0000,"nc",""
14/07/1971 12:00:00,14/07/1971,29.5000,29.5000,"nc",""
15/07/1971 12:00:00,15/07/1971,29.5000,29.5000,"nc",""
16/07/1971 12:00:00,16/07/1971,31.5000,31.5000,"nc",""
19/07/1971 12:00:00,19/07/1971,29.3000,29.3000,"nc",""
20/07/1971 12:00:00,20/07/1971,30.0000,30.0000,"nc",""
21/07/1971 12:00:00,21/07/1971,32.0000,32.0000,"nc",""
22/07/1971 12:00:00,22/07/1971,32.5000,32.5000,"nc",""
23/07/1971 12:00:00,23/07/1971,33.0000,33.0000,"nc",""
24/07/1971 12:00:00,24/07/1971,31.0000,31.0000,"nc",""
25/07/1971 12:00:00,25/07/1971,29.0000,29.0000,"nc",""
26/07/1971 12:00:00,26/07/1971,30.5000,30.5000,"nc",""
27/07/1971 12:00:00,27/07/1971,29.5000,29.5000,"nc",""
28/07/1971 12:00:00,28/07/1971,33.0000,33.0000,"nc",""
29/07/1971 12:00:00,29/07/1971,31.5000,31.5000,"nc",""
30/07/1971 12:00:00,30/07/1971,29.5000,29.5000,"nc",""
31/07/1971 12:00:00,31/07/1971,26.2000,26.2000,"nc",""
01/08/1971 12:00:00,01/08/1971,31.0000,31.0000,"nc",""
02/08/1971 12:00:00,02/08/1971,31.5000,31.5000,"nc",""
03/08/1971 12:00:00,03/08/1971,31.5000,31.5000,"nc",""
04/08/1971 12:00:00,04/08/1971,31.5000,31.5000,"nc",""
05/08/1971 12:00:00,05/08/1971,31.0000,31.0000,"nc",""
06/08/1971 12:00:00,06/08/1971,30.0000,30.0000,"nc",""
07/08/1971 12:00:00,07/08/1971,30.0000,30.0000,"nc",""
08/08/1971 12:00:00,08/08/1971,29.0000,29.0000,"nc",""
